origin_country,total_flights,avg_velocity,on_ground
Algeria,5,137.85399999999998,0
Angola,1,281.46,0
Argentina,7,215.10857142857142,0
Armenia,1,4.88,0
Australia,255,120.45282352941177,67
Austria,131,174.0840458015267,6
Azerbaijan,6,237.92666666666665,0
Bahrain,2,230.75,0
Bangladesh,10,99.762,1
Belarus,3,100.46,0
Belgium,45,162.29644444444446,4
Bolivia,1,102.96,0
Brazil,109,175.37330275229357,6
Brunei Darussalam,1,201.3,0
Bulgaria,20,180.0055,4
Canada,113,156.2192920353982,29
Chile,15,191.47533333333334,1
China,198,183.22964646464646,21
Colombia,1,232.14,0
Croatia,6,177.665,0
Cyprus,2,225.94,0
Czech Republic,33,120.7130303030303,4
Denmark,31,157.57419354838711,1
Egypt,32,215.875,0
Estonia,5,205.31199999999998,0
Ethiopia,8,146.53875,1
Finland,36,144.39138888888888,6
France,220,140.61072727272727,31
Gabon,1,114.72,0
Georgia,7,103.75857142857141,3
Germany,232,133.55056034482757,28
Greece,46,155.11434782608697,7
Hungary,54,187.42462962962964,2
Iceland,20,202.286,0
India,163,169.22092024539876,18
Indonesia,25,150.1412,0
Ireland,313,186.66460063897762,20
Israel,16,217.296875,0
Italy,34,117.21970588235294,3
Japan,186,165.94860215053762,26
Jordan,10,230.31,0
Kenya,5,136.046,0
Kingdom of the Netherlands,122,144.27008196721312,23
Kuwait,2,238.575,0
Latvia,40,175.65175,6
Lebanon,2,194.64499999999998,0
Libyan Arab Jamahiriya,2,246.41000000000003,0
Lithuania,11,146.0809090909091,1
Luxembourg,38,187.70105263157896,1
Malaysia,38,168.40421052631578,1
Malta,188,191.84180851063832,15
Mexico,38,226.62473684210525,0
Mongolia,1,10.29,1
Montenegro,1,204.13,0
Morocco,17,208.13764705882355,0
Myanmar,3,222.33333333333334,0
Namibia,1,147.55,0
Nepal,1,210.81,0
New Zealand,27,135.67777777777778,3
Norway,60,134.80783333333335,5
Oman,4,240.5325,0
Pakistan,3,202.5533333333333,0
Panama,14,235.12214285714285,0
Papua New Guinea,1,252.28,0
Philippines,44,144.98090909090908,8
Poland,129,166.83201550387597,7
Portugal,70,159.563,12
Qatar,46,218.21891304347827,2
Republic of Korea,85,181.8195294117647,6
Republic of Moldova,6,207.86166666666668,0
Romania,15,206.546,0
Russian Federation,46,184.44804347826087,0
San Marino,9,133.48,2
Saudi Arabia,20,243.516,0
Senegal,1,39.86,0
Serbia,13,156.17846153846153,2
Singapore,31,204.88096774193548,0
Slovakia,3,106.21333333333332,0
Slovenia,3,72.90333333333332,0
South Africa,32,139.5590625,0
Spain,198,166.08277777777778,9
Sri Lanka,4,215.925,0
Suriname,1,213.89,0
Sweden,79,149.12784810126584,9
Switzerland,95,134.30231578947368,27
Taiwan,65,166.7963076923077,9
Thailand,50,159.436,0
Trinidad and Tobago,4,211.6175,0
Tunisia,9,159.85777777777778,2
Turkey,253,201.41312252964426,8
Ukraine,2,102.135,1
United Arab Emirates,99,222.68151515151516,0
United Kingdom,483,144.8655900621118,47
United States,876,178.80502283105025,105
Uzbekistan,7,174.18714285714285,2
Viet Nam,8,202.2325,0
Zambia,1,126.68,0
