icao24,origin_country,velocity,on_ground
39de4f,France,228.37,False
39de4e,France,0.51,True
80162a,India,115.69,False
39de4a,France,231.72,False
aa9321,United States,252.85,False
39de4d,France,199.4,False
39de4c,France,76.76,False
39de57,France,192.28,False
801642,India,13.38,True
39de51,France,216.13,False
80162e,India,196.49,False
39de53,France,250.54,False
39de55,France,153.36,False
39de54,France,242.86,False
80163d,India,148.11,False
ac4963,United States,258.01,False
801657,India,0.0,True
00b22d,South Africa,202.77,False
00b22b,South Africa,225.21,False
80163f,India,208.46,False
00b22f,South Africa,72.87,False
80160b,India,206.71,False
801616,India,277.05,False
801619,India,131.14,False
407a16,United Kingdom,42.11,False
489591,Poland,43.98,False
7c1bb8,Australia,131.78,False
851914,Japan,161.85,False
80160d,India,232.09,False
a0e250,United States,93.63,False
488252,Poland,190.35,False
39de46,France,1.29,True
39de45,France,127.23,False
407a05,United Kingdom,204.94,False
3945f5,France,59.68,False
39de49,France,224.58,False
801632,India,279.7,False
39de40,France,232.52,False
511187,Estonia,235.01,False
44028c,Austria,205.29,False
ab0356,United States,224.43,False
a2228b,United States,263.31,False
511188,Estonia,230.29,False
4acb02,Sweden,76.39,False
801685,India,163.58,False
4bc8c8,Turkey,81.13,False
51116f,Estonia,220.54,False
4bc8c6,Turkey,215.33,False
4bc8c7,Turkey,234.09,False
4bc8c4,Turkey,217.92,False
4bc8c5,Turkey,5.4,True
4bc8c2,Turkey,229.45,False
4bc8c3,Turkey,207.15,False
4bc8c1,Turkey,207.39,False
44028f,Austria,30.08,False
801680,India,224.65,False
511174,Estonia,90.03,False
80167f,India,215.02,False
00887c,South Africa,48.15,False
511170,Estonia,250.69,False
4bc8d5,Turkey,213.66,False
a4d838,United States,239.42,False
80164e,India,276.86,False
ac234f,United States,284.73,False
478891,Norway,44.78,False
80164d,India,74.49,False
471efa,Hungary,210.9,False
a3a538,United States,274.76,False
471efc,Hungary,200.78,False
801663,India,246.91,False
801667,India,260.94,False
801665,India,141.67,False
801666,India,233.45,False
44029f,Austria,234.05,False
407a3e,United Kingdom,232.29,False
4031bc,United Kingdom,41.06,False
801674,India,0.0,True
7c1bdd,Australia,77.93,False
801671,India,91.71,False
3d2507,Germany,60.76,False
4acb41,Sweden,0.0,False
4acb45,Sweden,231.03,False
4acb44,Sweden,0.0,True
86cfa0,Japan,2.57,True
3455d8,Spain,189.42,False
440248,Austria,233.92,False
3455d9,Spain,236.7,False
4acb58,Sweden,235.08,False
4bc8cf,Turkey,217.93,False
4bc8cd,Turkey,214.88,False
4acb23,Sweden,210.35,False
40327f,United Kingdom,35.73,False
505dd2,Slovakia,54.02,False
505dac,Slovakia,219.18,False
3c5ef6,Germany,200.24,False
3d1209,Germany,52.03,False
46b82a,Greece,128.96,False
46b82c,Greece,240.69,False
4bc8da,Turkey,226.51,False
e80242,Chile,214.9,False
c07bc7,Canada,229.01,False
46b831,Greece,0.0,True
46b830,Greece,171.46,False
44020c,Austria,227.71,False
44020a,Austria,237.24,False
a02a66,United States,54.17,False
a5958c,United States,253.86,False
46b824,Greece,202.64,False
46b825,Greece,122.14,False
46b822,Greece,236.77,False
46b828,Greece,152.6,False
a0f4b5,United States,239.08,False
4cc2a6,Iceland,253.41,False
44022d,Austria,243.97,False
44022b,Austria,80.08,False
47880f,Norway,207.08,False
0d11b4,Mexico,237.78,False
00b29f,South Africa,139.15,False
e80200,Chile,249.7,False
47b0e7,Norway,5.66,True
a8320e,United States,95.48,False
a8453e,United States,4.89,True
7c1c48,Australia,139.55,False
8014a3,India,193.55,False
aa07f9,United States,159.59,False
7cf9f1,Australia,81.5,False
87455c,Japan,233.8,False
3ffbad,Germany,40.75,False
8014b3,India,276.65,False
a3a4de,United States,97.57,False
8014b4,India,244.14,False
3ffbc2,Germany,39.73,False
8014ad,India,72.99,False
a2cd61,United States,237.37,False
4aca84,Sweden,98.98,False
4aca83,Sweden,262.36,False
4aca86,Sweden,117.7,False
4aca85,Sweden,71.65,False
